Movie_Title,Release Year,Genre,Production Budget ($M),WW Box Office Gross ($M),"Franchise/Sequel (1=Yes, 0=No)",Director,Lead Star,MPAA Rating,Release Month,Runtime (min),IMDb Score,Rotten Tomatoes (%),Opening Weekend ($M),Sequel Number,Streaming Days After Release,Marketing Budget Est. ($M),Total Cost Est. ($M),Net Profit/Loss ($M),ROI (%),Opening Weekend Ratio (%),Budget Tier,Season,Critical Reception
Avengers: Age of Ultron,2015,Action/Adventure,365,1405,1,Joss Whedon,Robert Downey Jr.,PG-13,5,141,7,75,191,2,90,183,548,155,28,14,Mega ($200M+),Summer,Acclaimed (75+)
Jurassic World,2015,Action/Adventure,150,1670,1,Colin Trevorrow,Chris Pratt,PG-13,6,124,7,71,208,4,90,75,225,610,271,13,Large ($100-199M),Summer,Mixed (50-74)
Furious 7,2015,Action/Adventure,190,1516,1,James Wan,Vin Diesel,PG-13,4,137,7,81,147,7,90,95,285,473,166,10,Large ($100-199M),Spring,Acclaimed (75+)
Avengers: Infinity War,2018,Action/Adventure,316,2048,1,Russo Brothers,Robert Downey Jr.,PG-13,4,149,8,85,258,10,90,158,474,550,116,13,Mega ($200M+),Spring,Acclaimed (75+)
Avengers: Endgame,2019,Action/Adventure,356,2798,1,Russo Brothers,Robert Downey Jr.,PG-13,4,181,8,94,357,11,90,178,534,865,162,13,Mega ($200M+),Spring,Acclaimed (75+)
The Force Awakens,2015,Action/Adventure,245,2068,1,J.J. Abrams,Daisy Ridley,PG-13,12,138,8,93,248,7,90,123,368,667,181,12,Mega ($200M+),Holiday,Acclaimed (75+)
The Last Jedi,2017,Action/Adventure,317,1333,1,Rian Johnson,Mark Hamill,PG-13,12,152,7,91,220,8,90,159,476,191,40,17,Mega ($200M+),Holiday,Acclaimed (75+)
The Rise of Skywalker,2019,Action/Adventure,275,1074,1,J.J. Abrams,Daisy Ridley,PG-13,12,142,7,52,177,9,90,138,413,125,30,17,Mega ($200M+),Holiday,Mixed (50-74)
Black Panther,2018,Action/Adventure,200,1347,1,Ryan Coogler,Chadwick Boseman,PG-13,2,134,7,96,202,1,90,100,300,374,125,15,Mega ($200M+),Off-Season,Acclaimed (75+)
Black Panther: Wakanda Forever,2022,Action/Adventure,250,859,1,Ryan Coogler,Letitia Wright,PG-13,11,161,7,84,181,2,90,125,375,55,15,21,Mega ($200M+),Holiday,Acclaimed (75+)
Spider-Man: No Way Home,2021,Action/Adventure,200,1901,1,Jon Watts,Tom Holland,PG-13,12,148,8,93,260,6,45,100,300,651,217,14,Mega ($200M+),Holiday,Acclaimed (75+)
Doctor Strange in the MVM,2022,Action/Adventure,200,955,1,Sam Raimi,Benedict Cumberbatch,PG-13,5,126,7,74,187,2,45,100,300,178,59,20,Mega ($200M+),Summer,Mixed (50-74)
Thor: Love and Thunder,2022,Action/Adventure,250,761,1,Taika Waititi,Chris Hemsworth,PG-13,7,119,6,63,144,4,45,125,375,6,2,19,Mega ($200M+),Summer,Mixed (50-74)
Guardians of the Galaxy Vol. 3,2023,Action/Adventure,250,845,1,James Gunn,Chris Pratt,PG-13,5,150,8,82,119,3,45,125,375,48,13,14,Mega ($200M+),Summer,Acclaimed (75+)
Captain America: Civil War,2016,Action/Adventure,250,1153,1,Russo Brothers,Chris Evans,PG-13,5,148,8,91,179,3,90,125,375,202,54,16,Mega ($200M+),Summer,Acclaimed (75+)
The Batman,2022,Action/Adventure,200,770,1,Matt Reeves,Robert Pattinson,PG-13,3,176,8,85,134,1,45,100,300,85,28,17,Mega ($200M+),Spring,Acclaimed (75+)
Aquaman,2018,Action/Adventure,160,1148,1,James Wan,Jason Momoa,PG-13,12,143,7,65,67,1,90,80,240,334,139,6,Large ($100-199M),Holiday,Mixed (50-74)
Wonder Woman,2017,Action/Adventure,149,822,1,Patty Jenkins,Gal Gadot,PG-13,6,141,7,93,103,1,90,75,224,188,84,13,Large ($100-199M),Summer,Acclaimed (75+)
Shazam!,2019,Action/Adventure,100,367,1,David F. Sandberg,Zachary Levi,PG-13,4,132,7,90,53,1,90,50,150,34,22,14,Large ($100-199M),Spring,Acclaimed (75+)
Fast & Furious 9,2021,Action/Adventure,200,726,1,Justin Lin,Vin Diesel,PG-13,6,143,5,59,70,9,45,100,300,63,21,10,Mega ($200M+),Summer,Mixed (50-74)
Mission: Impossible – Fallout,2018,Action/Adventure,178,791,1,Christopher McQuarrie,Tom Cruise,PG-13,7,147,8,97,61,6,90,89,267,129,48,8,Large ($100-199M),Summer,Acclaimed (75+)
Mission: Impossible – Dead Reckoning,2023,Action/Adventure,290,567,1,Christopher McQuarrie,Tom Cruise,PG-13,7,163,8,96,80,7,45,145,435,-152,-35,14,Mega ($200M+),Summer,Acclaimed (75+)
Top Gun: Maverick,2022,Action/Adventure,170,1491,1,Joseph Kosinski,Tom Cruise,PG-13,5,131,8,96,160,2,45,85,255,491,192,11,Large ($100-199M),Summer,Acclaimed (75+)
John Wick: Chapter 4,2023,Action/Adventure,100,440,1,Chad Stahelski,Keanu Reeves,R,3,169,8,94,73,4,45,50,150,70,47,17,Large ($100-199M),Spring,Acclaimed (75+)
Oppenheimer,2023,Drama/Thriller,100,952,0,Christopher Nolan,Cillian Murphy,R,7,180,9,93,82,1,60,50,150,326,217,9,Large ($100-199M),Summer,Acclaimed (75+)
Tenet,2020,Action/Adventure,200,363,0,Christopher Nolan,John David Washington,PG-13,9,150,7,69,30,1,45,100,300,-119,-40,8,Mega ($200M+),Off-Season,Mixed (50-74)
Dunkirk,2017,Drama/Thriller,100,527,0,Christopher Nolan,Fionn Whitehead,PG-13,7,106,8,92,51,1,90,50,150,114,76,10,Large ($100-199M),Summer,Acclaimed (75+)
Interstellar,2015,Sci-Fi,165,701,0,Christopher Nolan,Matthew McConaughey,PG-13,1,169,9,71,47,1,90,83,248,103,42,7,Large ($100-199M),Off-Season,Mixed (50-74)
The Martian,2015,Sci-Fi,108,630,0,Ridley Scott,Matt Damon,PG-13,10,144,8,91,55,1,90,54,162,153,94,9,Large ($100-199M),Off-Season,Acclaimed (75+)
Arrival,2016,Sci-Fi,47,203,0,Denis Villeneuve,Amy Adams,PG-13,11,116,8,94,24,1,90,24,71,31,44,12,Mid ($30-99M),Holiday,Acclaimed (75+)
Blade Runner 2049,2017,Sci-Fi,150,260,1,Denis Villeneuve,Ryan Gosling,R,10,164,8,88,32,2,90,75,225,-95,-42,12,Large ($100-199M),Off-Season,Acclaimed (75+)
Dune: Part One,2021,Sci-Fi,165,401,1,Denis Villeneuve,Timothée Chalamet,PG-13,10,155,8,83,41,1,45,83,248,-47,-19,10,Large ($100-199M),Off-Season,Acclaimed (75+)
Dune: Part Two,2024,Sci-Fi,190,711,1,Denis Villeneuve,Timothée Chalamet,PG-13,3,167,9,93,82,2,45,95,285,71,25,12,Large ($100-199M),Spring,Acclaimed (75+)
Everything Everywhere All at Once,2022,Sci-Fi,15,70,0,Daniels,Michelle Yeoh,R,3,139,8,95,6,1,45,8,23,13,56,9,Low (< $30M),Spring,Acclaimed (75+)
Inception,2015,Sci-Fi,160,836,0,Christopher Nolan,Leonardo DiCaprio,PG-13,7,148,9,87,63,1,90,80,240,178,74,8,Large ($100-199M),Summer,Acclaimed (75+)
Frozen II,2019,Animation,150,1450,1,Chris Buck,Idina Menzel,PG,11,103,7,77,127,2,90,75,225,500,222,9,Large ($100-199M),Holiday,Acclaimed (75+)
Moana,2016,Animation,150,643,0,Ron Clements,Auli'i Cravalho,PG,11,107,8,95,82,1,90,75,225,97,43,13,Large ($100-199M),Holiday,Acclaimed (75+)
